% Asian-alone,% Black-alone,% White-alone,0-9,19-Oct,20-29,30-39,40-49,50-59,70-79 y/o % of total pop,80+,Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Asian-alone pop,Bachelor's degree or higher 2014-18,CI90LBINC_2018,CI90UBINC_2018,CKD_Lower 95% CI,CKD_Upper 95% CI,CKD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,COPD_prevalence,Civilian_labor_force_2018,Employed_2018,Family Medicine/General Practice Primary Care (2019),Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,Heart disease_prevalence,Internal Medicine Primary Care (2019),MEDHHINC_2018,Med_HH_Income_Percent_of_State_Total_2018,Median_Household_Income_2018,N_POP_CHG_2018,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Obesity_number,Obesity_prevalence,PCTPOV017_2018,PCTPOV517_2018,PCTPOVALL_2018,POP_ESTIMATE_2018,Percent of Population Aged 60+,Percent of adults with a bachelor's degree or higher 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults with less than a high school diploma 2014-18,R_NATURAL_INC_2018,R_death_2018,STATE_FIPS,TOT_POP,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Total Population,Total Specialist Physicians (2019),Total nurse practitioners (2019),Total physician assistants (2019),Two or more races pop,Unemployment_rate_2018,White-alone pop,anycondition_Lower 95% CI,anycondition_Upper 95% CI,anycondition_prevalence,county_pop2018_18 and older,diabetes_Lower 95% CI,diabetes_Upper 95% CI,fips,diabetes_prevalence,COUNTY_NAME
0.630670502,29.81854393,66.78468688,812.0,903.0,1107.0,1251.0,1213.0,1266.0,8.796193848,577.0,7.3,6.3,81.7,263.2,90.3,57.0,1049.0,44241.0,54557.0,3.7,4.2,3.9,8.6,11.0,9.8,4040.0,3916.0,3.956791311,8.6,10.1,9.3,4.50749517,49399.0,68.0,49399.0,113.0,35.7,38.3,2769.0,37.0,22.5,20.8,15.9,9038.0,27.0,15.7,38.8,17.6,-0.8,11.1,51.0,9038.0,231.8,8873.0,12.46988777,4.75154505,2.230403684,202.0,3.1,6036.0,44.8,48.2,46.5,7485.0,14.0,15.6,51159.0,14.8,1722
5.459498527,3.10742944,82.56036767,30843.0,29948.0,41468.0,36139.0,29901.0,34984.0,8.0617483,9778.0,6.9,6.1,91.7,278.8,100.6,14730.0,58452.0,74061.0,78999.0,2.6,3.0,2.8,5.1,6.9,6.0,122885.0,117172.0,158.1466782,5.9,7.1,6.5,134.1937401,76530.0,103.4,76530.0,3255.0,28.4,31.0,63722.0,29.7,11.5,10.5,9.1,269805.0,23.0,32.2,22.6,5.6,2.8,8.8,53.0,269805.0,246.3,258903.0,398.0341004,108.73703,68.3142092,16585.0,4.6,222752.0,38.0,41.8,39.9,214553.0,9.4,11.0,53035.0,10.1,1764
0.379136029,5.675551471,91.56709559,2076.0,2129.0,2244.0,2419.0,2423.0,2338.0,7.703354779,526.0,8.3,7.6,72.9,230.9,77.3,66.0,851.0,27041.0,33017.0,4.0,4.7,4.4,15.0,18.9,16.8,4654.0,4360.0,7.402019782,12.0,14.1,13.0,7.694204774,30029.0,59.8,30029.0,-15.0,41.7,45.2,5927.0,43.5,39.4,38.5,33.7,17408.0,20.6,6.9,42.7,25.4,2.1,9.8,21.0,17408.0,214.6,17748.0,25.15128406,11.43027686,3.841258687,274.0,6.3,15940.0,62.2,65.9,64.1,13625.0,18.0,20.2,21147.0,19.1,727
0.897491626,1.51371807,94.8767121,15179.0,15892.0,13545.0,14075.0,14215.0,16816.0,7.203797932,4096.0,7.9,6.7,87.6,287.0,97.8,1053.0,17640.0,58055.0,66439.0,2.8,3.2,3.0,7.6,10.4,9.0,62239.0,60206.0,70.69493098,6.8,8.3,7.6,87.03352369,62247.0,109.9,62247.0,894.0,29.0,32.2,27220.0,30.6,13.6,12.5,10.7,117327.0,21.7,22.7,37.8,9.3,3.8,7.9,26.0,117327.0,249.7,114145.0,238.3063562,51.87972687,44.4029427,2269.0,3.3,111316.0,39.2,43.6,41.5,88955.0,9.6,11.5,26005.0,10.6,833
4.6409819,1.278330416,86.41070519,24496.0,27050.0,40511.0,28415.0,25417.0,26368.0,7.673084166,8274.0,6.9,6.1,91.7,278.8,100.6,10474.0,48346.0,59283.0,65241.0,2.6,3.0,2.8,5.2,7.1,6.1,111670.0,106375.0,132.2856621,5.6,6.9,6.2,112.2496404,62262.0,84.1,62262.0,4035.0,23.9,26.3,45626.0,25.1,14.4,13.1,14.9,225685.0,22.3,33.9,23.3,7.7,2.8,7.5,53.0,225685.0,246.3,212738.0,332.9453715,90.95575184,57.14309336,8975.0,4.7,195016.0,31.3,34.9,33.1,181775.0,8.6,10.1,53073.0,9.3,1776
1.48401383,0.831358533,93.32970747,2389.0,3147.0,3551.0,3054.0,2547.0,3310.0,8.822501068,1287.0,9.2,8.6,84.8,240.4,92.8,382.0,6067.0,47241.0,56307.0,2.7,3.2,3.0,4.8,6.9,5.8,13076.0,12692.0,15.78477503,6.6,8.3,7.4,9.891014299,51774.0,90.8,51774.0,135.0,27.5,30.8,6173.0,29.2,14.7,12.5,12.7,25741.0,26.4,34.7,30.0,6.4,0.4,8.8,46.0,25741.0,219.1,25018.0,27.95159793,13.80073677,11.78752147,494.0,2.9,24024.0,36.5,40.9,38.6,21141.0,8.6,10.4,46081.0,9.4,39
0.87219054,0.87219054,93.61791345,1604.0,1428.0,1387.0,1409.0,1144.0,1564.0,8.570949346,748.0,7.4,6.6,96.0,302.7,104.9,104.0,1581.0,48757.0,58323.0,3.0,3.6,3.3,5.7,7.9,6.7,6887.0,6667.0,7.450402848,7.1,8.8,8.0,6.832015161,53540.0,76.2,53540.0,-34.0,32.2,35.4,3090.0,33.9,13.0,13.3,8.8,11924.0,27.9,19.1,35.9,9.3,0.4,11.6,27.0,11924.0,265.0,12040.0,19.93928406,6.120125557,3.850578996,217.0,3.2,11163.0,41.2,45.6,43.5,9116.0,10.5,12.5,27023.0,11.6,843
0.321316614,4.498432602,93.17398119,1060.0,1243.0,1318.0,1380.0,1672.0,1828.0,10.48589342,762.0,10.5,9.2,89.4,263.4,100.1,41.0,1395.0,31548.0,37988.0,3.8,4.5,4.2,13.3,17.4,15.3,4198.0,3940.0,8.768899876,11.3,13.7,12.4,6.896411183,34768.0,79.0,34768.0,-131.0,41.2,45.1,4583.0,43.1,36.5,34.6,26.9,12760.0,31.1,13.9,44.1,14.4,-5.9,13.7,54.0,12760.0,231.6,13210.0,19.80598417,6.656167351,4.720084703,204.0,6.1,11889.0,58.3,62.7,60.6,10633.0,16.5,19.3,54089.0,17.9,1792
0.157977883,0.434439179,98.14375987,422.0,572.0,524.0,478.0,625.0,841.0,10.78199052,264.0,7.3,6.3,81.7,263.2,90.3,8.0,722.0,45313.0,56403.0,2.9,3.4,3.2,7.4,10.2,8.8,2286.0,2205.0,2.216993937,7.5,9.3,8.4,2.525553833,50858.0,70.1,50858.0,-1.0,29.7,33.5,1320.0,31.6,21.2,19.3,11.9,5064.0,28.8,18.5,43.1,7.5,-7.5,13.6,51.0,5064.0,231.8,5131.0,6.986889982,2.662295213,1.249697306,44.0,3.5,4970.0,41.5,46.8,44.3,4176.0,10.6,12.7,51045.0,11.6,1325
6.370837809,16.13856069,73.19414608,971.0,2839.0,4137.0,1418.0,995.0,1342.0,7.250268528,629.0,7.3,6.3,81.7,263.2,90.3,949.0,4127.0,48078.0,57612.0,2.4,2.7,2.5,4.9,6.5,5.7,6729.0,6458.0,6.521394487,5.2,6.2,5.7,7.429038289,52845.0,72.8,52845.0,7.0,25.8,29.2,3612.0,27.4,28.2,26.6,23.0,14896.0,18.4,56.7,19.3,4.4,-0.8,6.6,51.0,14896.0,231.8,14817.0,20.55227353,7.831269647,3.676044841,543.0,4.0,10903.0,32.9,37.3,35.1,13184.0,8.2,9.5,51830.0,8.9,1434
