% Asian-alone,% Black-alone,% White-alone,0-9,19-Oct,20-29,30-39,40-49,50-59,70-79 y/o % of total pop,80+,Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Asian-alone pop,Bachelor's degree or higher 2014-18,CI90LBINC_2018,CI90UBINC_2018,CKD_Lower 95% CI,CKD_Upper 95% CI,CKD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,COPD_prevalence,Civilian_labor_force_2018,Employed_2018,Family Medicine/General Practice Primary Care (2019),Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,Heart disease_prevalence,Internal Medicine Primary Care (2019),MEDHHINC_2018,Med_HH_Income_Percent_of_State_Total_2018,Median_Household_Income_2018,N_POP_CHG_2018,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Obesity_number,Obesity_prevalence,PCTPOV017_2018,PCTPOV517_2018,PCTPOVALL_2018,POP_ESTIMATE_2018,Percent of Population Aged 60+,Percent of adults with a bachelor's degree or higher 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults with less than a high school diploma 2014-18,R_NATURAL_INC_2018,R_death_2018,STATE_FIPS,TOT_POP,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Total Population,Total Specialist Physicians (2019),Total nurse practitioners (2019),Total physician assistants (2019),Two or more races pop,Unemployment_rate_2018,White-alone pop,anycondition_Lower 95% CI,anycondition_Upper 95% CI,anycondition_prevalence,county_pop2018_18 and older,diabetes_Lower 95% CI,diabetes_Upper 95% CI,fips,diabetes_prevalence,COUNTY_NAME
1.491288138,60.2830404,36.37677851,1345.0,1440.0,1973.0,1768.0,1544.0,1859.0,7.989043597,416.0,7.0,6.1,71.9,228.7,79.1,196.0,820.0,29417.0,36319.0,4.2,4.7,4.4,10.0,12.2,11.1,4731.0,4436.0,4.261693003,8.9,10.3,9.6,6.219498026,32868.0,56.1,32868.0,-108.0,36.5,39.4,4048.0,37.9,39.2,38.6,30.5,13143.0,21.4,8.6,34.1,27.2,-3.8,13.3,13.0,13143.0,202.9,13675.0,15.97728822,6.015846323,4.156743659,150.0,6.2,4781.0,52.8,56.3,54.7,10681.0,18.3,20.3,13193.0,19.4,43
1.088001501,1.922761273,94.79916524,4791.0,5040.0,4855.0,4775.0,4515.0,6065.0,8.54456351,2733.0,6.9,6.5,77.9,218.2,84.8,464.0,6942.0,48171.0,55707.0,3.0,3.5,3.2,6.2,8.5,7.3,23298.0,22691.0,29.20023225,7.1,8.7,7.8,17.26880926,51939.0,86.5,51939.0,-350.0,34.7,37.9,12280.0,36.3,13.3,12.3,10.4,42647.0,27.8,22.7,30.8,6.9,-1.6,11.7,19.0,42647.0,193.1,43134.0,55.22505747,25.97077574,11.52605188,720.0,2.6,40429.0,43.5,48.0,45.8,33828.0,9.8,11.8,19033.0,10.8,588
0.576052251,6.385135545,90.70061065,17220.0,18032.0,18501.0,19360.0,18498.0,24629.0,8.850202134,9765.0,8.7,7.2,88.2,320.5,100.8,949.0,28795.0,51263.0,58383.0,3.0,3.5,3.2,7.0,9.6,8.3,84057.0,80234.0,92.66774482,7.1,8.7,7.9,133.4703665,54823.0,90.0,54823.0,-961.0,32.0,35.5,44871.0,33.8,16.3,15.7,11.2,164742.0,27.2,23.7,38.2,6.9,-3.0,12.7,42.0,164742.0,273.3,168161.0,344.3139264,90.08220669,72.92246605,3498.0,4.5,149422.0,42.0,46.5,44.3,132754.0,10.5,12.4,42007.0,11.5,1319
0.538701446,5.101306406,92.32732111,5890.0,5903.0,5717.0,5747.0,5729.0,6604.0,6.806830822,1447.0,8.3,7.6,72.9,230.9,77.3,247.0,5236.0,50466.0,60738.0,2.8,3.2,3.0,9.1,11.8,10.4,22711.0,21726.0,19.49620916,7.8,9.3,8.5,20.26579636,55602.0,110.8,55602.0,239.0,35.1,38.5,12929.0,36.9,16.4,14.5,12.2,45851.0,20.1,17.2,38.7,10.8,3.0,9.1,21.0,45851.0,214.6,45131.0,66.24606649,30.10625141,10.11750644,800.0,4.3,42333.0,49.9,54.3,52.2,35037.0,11.9,13.8,21179.0,12.8,732
1.531194522,54.42767774,40.32673937,13198.0,10807.0,14945.0,14143.0,9978.0,11740.0,6.270606137,3489.0,7.3,6.3,81.7,263.2,90.3,1449.0,13518.0,44163.0,50523.0,3.3,3.6,3.4,7.0,8.6,7.8,44095.0,42303.0,41.4294175,6.6,7.6,7.1,47.19553916,47343.0,65.2,47343.0,-61.0,41.6,44.2,31137.0,42.9,29.1,26.5,19.2,94632.0,20.0,21.3,29.8,12.5,3.3,11.0,51.0,94632.0,231.8,95536.0,130.565437,49.7508532,23.35334824,2878.0,4.1,38162.0,51.4,54.5,53.0,72580.0,13.2,14.8,51740.0,14.0,1749
0.466278102,0.882597835,94.72106578,715.0,867.0,624.0,710.0,675.0,794.0,8.592839301,290.0,6.2,5.4,66.5,224.8,72.9,28.0,1225.0,58601.0,70997.0,2.8,3.3,3.0,6.0,8.3,7.2,3040.0,2954.0,2.011022636,7.0,8.6,7.8,2.272129196,64799.0,106.9,64799.0,-5.0,31.1,34.9,1504.0,33.0,12.2,10.6,8.9,6005.0,23.4,30.4,28.8,6.4,-3.5,11.5,48.0,6005.0,199.9,6033.0,7.092139547,2.071277996,1.222472458,127.0,2.8,5688.0,42.1,47.1,44.6,4557.0,10.3,12.3,48065.0,11.3,1523
2.808288259,1.340309725,91.86473064,57699.0,66412.0,61819.0,68530.0,62584.0,57814.0,6.339820327,14248.0,5.8,5.5,68.9,192.6,73.9,13198.0,112640.0,64180.0,69474.0,2.4,2.8,2.6,4.6,6.4,5.5,244525.0,238510.0,247.0109884,5.2,6.4,5.7,104.2161329,66827.0,120.4,66827.0,13081.0,23.6,26.3,89557.0,25.0,10.2,8.9,9.7,469966.0,18.6,37.8,23.0,4.9,4.2,6.5,16.0,469966.0,181.6,435117.0,373.7313762,184.320564,165.5670183,13890.0,2.5,431733.0,31.1,35.0,33.0,358229.0,7.8,9.4,16001.0,8.6,451
0.241610738,1.181208054,96.44295302,1036.0,904.0,667.0,789.0,755.0,1092.0,8.791946309,315.0,10.6,10.4,76.2,207.9,79.8,18.0,1148.0,57031.0,71075.0,2.8,3.3,3.1,6.6,9.1,7.8,3696.0,3577.0,4.848572967,6.9,8.6,7.7,1.702158595,64053.0,102.9,64053.0,26.0,28.3,32.0,1703.0,30.2,12.3,12.2,8.2,7450.0,26.7,22.4,29.0,6.8,5.0,9.3,56.0,7450.0,199.6,7347.0,7.014956633,3.688010288,2.07611768,81.0,3.2,7185.0,37.8,42.6,40.3,5639.0,9.2,11.1,56011.0,10.1,1360
1.044952681,5.044285368,90.52414463,7762.0,8444.0,8162.0,7520.0,7909.0,8962.0,8.091179325,3339.0,6.5,6.1,74.4,230.8,80.3,689.0,8312.0,42284.0,47976.0,3.2,3.7,3.5,9.4,12.4,10.9,31319.0,30193.0,32.74197886,7.9,9.6,8.7,25.9236071,45130.0,81.0,45130.0,-242.0,34.5,37.8,18629.0,36.2,23.3,21.3,16.0,65936.0,25.3,18.2,38.0,13.2,-2.5,13.3,18.0,65936.0,212.0,66972.0,85.78142279,34.02288685,8.325901937,1927.0,3.6,59688.0,44.9,49.1,47.1,51461.0,12.9,15.1,18177.0,14.0,439
1.473524754,4.757970116,90.64931488,1386.0,1816.0,1382.0,1450.0,1727.0,2564.0,9.336913861,697.0,7.3,6.3,81.7,263.2,90.3,214.0,3281.0,75479.0,92563.0,3.0,3.5,3.2,6.8,9.8,8.3,7545.0,7329.0,6.358096948,7.1,9.0,8.0,7.243013096,84021.0,115.7,84021.0,74.0,28.9,32.5,3572.0,30.7,8.0,7.0,6.5,14523.0,25.6,32.2,28.9,11.3,-1.3,10.3,51.0,14523.0,231.8,14331.0,20.03763887,7.635172468,3.583995651,357.0,2.9,13165.0,39.0,44.0,41.6,11635.0,10.7,12.9,51043.0,11.8,12
